Month,MunicipalityNo,Industrycode_DE35,MeasurementPoints,TotalCon
2021-07-01,999,999,812,11747880
2021-07-01,999,462,13,26443
2021-07-01,999,450,486,185017
2021-07-01,999,442,151,72408
2021-07-01,999,211,25,3893
2021-07-01,860,431,462,1265340
2021-07-01,851,442,267,1205843
2021-07-01,846,443,61,125697
2021-07-01,813,211,1617,1869847
2021-07-01,756,310,48,917131
2021-07-01,615,381,17,226537
2021-07-01,316,340,26,239907
2021-07-01,316,330,23,54926
2021-07-01,615,360,14,279688
2021-07-01,316,310,31,206715
2021-07-01,316,220,23,14435
2021-07-01,756,220,94,856923
2021-07-01,615,350,20,123405
2021-07-01,316,215,15,39131
2021-07-01,316,212,161,105427
2021-07-01,615,340,22,36023
2021-07-01,316,211,1100,1519022
2021-07-01,316,130,2066,376462
2021-07-01,813,130,4251,1187915
2021-07-01,756,215,268,1380911
2021-07-01,615,330,21,27711
2021-07-01,316,123,160,62414
2021-07-01,316,122,3018,1138643
2021-07-01,615,320,12,6036
2021-07-01,316,121,14827,3946740
2021-07-01,316,119,809,469397
2021-07-01,756,212,84,263717
2021-07-01,615,310,34,6818920
2021-07-01,316,112,340,71723
2021-07-01,316,111,8466,1128648
2021-07-01,615,220,22,87211
2021-07-01,306,999,4650,2319653
2021-07-01,306,461,17,5013
2021-07-01,846,442,84,207143
2021-07-01,813,123,304,121550
2021-07-01,756,211,794,3410835
2021-07-01,615,215,17,23131
2021-07-01,306,450,183,56267
2021-07-01,306,447,73,232945
2021-07-01,615,212,48,72375
2021-07-01,306,446,178,281001
2021-07-01,306,445,166,216938
2021-07-01,756,130,170,32399
2021-07-01,615,211,605,1656266
2021-07-01,306,444,31,62957
2021-07-01,306,443,54,93721
2021-07-01,615,130,350,76982
2021-07-01,306,442,204,166302
2021-07-01,306,441,152,299481
2021-07-01,813,122,2006,697880
2021-07-01,756,123,261,133412
2021-07-01,615,123,504,201059
2021-07-01,306,433,211,342421
2021-07-01,306,432,94,80684
2021-07-01,615,122,1036,376042
2021-07-01,306,431,110,349586
2021-07-01,306,422,42,31553
2021-07-01,756,122,813,308012
2021-07-01,615,121,16845,4383235
2021-07-01,306,421,251,1133897
2021-07-01,306,410,49,16913
2021-07-01,615,119,1616,526690
2021-07-01,306,382,70,773260
2021-07-01,306,360,19,6651
2021-07-01,851,441,509,2111863
2021-07-01,846,441,167,371832
2021-07-01,813,121,18784,4437325
2021-07-01,756,121,11159,3058747
2021-07-01,615,112,89,17034
2021-07-01,306,350,24,587418
2021-07-01,306,310,24,114837
2021-07-01,615,111,7988,1216203
2021-07-01,306,220,27,30205
2021-07-01,306,215,24,3653
2021-07-01,756,119,360,112367
2021-07-01,607,999,3446,16439357
2021-07-01,306,212,102,57537
2021-07-01,306,211,642,530429
2021-07-01,607,462,13,37010
2021-07-01,306,130,20103,4203026
2021-07-01,306,123,83,29861
2021-07-01,813,119,600,239282
2021-07-01,756,112,44,10495
2021-07-01,607,461,23,6556
2021-07-01,306,122,2827,949890
2021-07-01,306,121,8078,2123603
2021-07-01,607,450,21,3508
2021-07-01,306,119,739,197027
2021-07-01,306,112,259,54739
2021-07-01,756,111,3015,521367
2021-07-01,607,447,87,745654
2021-07-01,306,111,2066,291830
2021-07-01,270,999,12063,5585870
2021-07-01,607,446,265,661214
2021-07-01,270,462,16,9016
2021-07-01,270,461,32,10287
2021-07-01,846,433,153,147297
2021-07-01,813,112,111,21941
2021-07-01,751,999,66330,48307351
2021-07-01,607,445,345,693738
2021-07-01,270,450,14,1499
2021-07-01,270,447,107,146423
2021-07-01,607,444,55,79798
2021-07-01,270,446,110,185879
2021-07-01,270,445,79,124286
2021-07-01,751,462,17,71685
2021-07-01,607,443,47,108550
2021-07-01,270,444,20,19140
2021-07-01,270,443,21,84871
2021-07-01,607,442,125,390479
2021-07-01,270,442,13,21351
2021-07-01,270,441,58,176371
2021-07-01,813,111,7165,1866375
2021-07-01,751,461,81,170466
2021-07-01,607,441,165,528442
2021-07-01,270,433,198,220476
2021-07-01,270,432,125,182576
2021-07-01,607,433,286,702842
2021-07-01,270,431,57,259345
2021-07-01,270,422,51,135005
2021-07-01,751,450,930,430464
2021-07-01,607,432,172,231586
2021-07-01,270,421,134,290640
2021-07-01,270,410,88,47483
2021-07-01,607,431,86,295868
2021-07-01,270,382,48,352101
2021-07-01,270,340,14,10583
2021-07-01,860,422,119,722559
2021-07-01,851,433,808,1553238
2021-07-01,846,432,182,266936
2021-07-01,810,999,4191,5493357
2021-07-01,751,447,291,1398401
2021-07-01,607,422,83,400899
2021-07-01,270,211,346,228769
2021-07-01,270,130,8151,2047350
2021-07-01,607,421,337,1105039
2021-07-01,270,123,283,138667
2021-07-01,270,122,2266,890886
2021-07-01,751,446,882,3429344
2021-07-01,607,410,128,117249
2021-07-01,270,121,7214,2095678
2021-07-01,270,119,525,135053
2021-07-01,607,390,13,47531
2021-07-01,270,112,66,15250
2021-07-01,270,111,1168,198376
2021-07-01,810,450,114,22389
2021-07-01,751,445,1121,1577275
2021-07-01,607,381,58,114035
2021-07-01,269,999,1937,1553085
2021-07-01,269,450,96,40061
2021-07-01,607,360,11,9148577
2021-07-01,269,447,23,50163
2021-07-01,269,446,70,83933
2021-07-01,751,444,294,2220334
2021-07-01,607,350,15,810096
2021-07-01,269,445,54,96832
2021-07-01,269,443,14,92981
2021-07-01,607,340,18,597664
2021-07-01,269,442,17,3951
2021-07-01,269,441,42,580044
2021-07-01,846,431,117,293668
2021-07-01,810,447,120,149659
2021-07-01,751,443,316,1838971
2021-07-01,607,320,17,16854
2021-07-01,269,433,78,134165
2021-07-01,269,432,67,90115
2021-07-01,607,310,22,3776677
2021-07-01,269,431,12,15561
2021-07-01,269,422,13,17351
2021-07-01,751,442,56,110053
2021-07-01,607,220,26,23166
2021-07-01,269,421,112,445242
2021-07-01,269,382,31,82939
2021-07-01,607,212,29,13196
2021-07-01,269,220,16,4664
2021-07-01,269,212,14,9659
2021-07-01,810,446,105,178200
2021-07-01,751,441,195,473546
2021-07-01,607,211,256,367077
